user_id,first_seen_date,age_bucket,gender,preferred_device,preferred_category,email_opt_in,push_opt_in,total_sessions,total_orders,total_revenue,loyalty_tier
d2fa55f9-67b0-47e5-b2ee-aefc47ab3057,2023-07-01,18-24,M,mobile,sports,True,True,0.0,0.0,0.0,new
b581f3f1-b9b9-4a9d-9ce9-5dd01d60b706,2023-07-23,25-34,F,mobile,beauty,True,False,2.0,0.0,0.0,new
ba76901c-b73d-46c3-8914-62bd8a75c1fd,2023-08-02,35-44,F,desktop,sports,True,False,4.0,0.0,0.0,new
f7e52bfe-0ccc-451b-bd98-37344d1e5013,2023-08-17,35-44,M,mobile,home_decor,True,False,2.0,0.0,0.0,new
88172700-9669-43db-be09-a7eb9e8664a3,2023-10-10,35-44,M,desktop,beauty,True,True,3.0,0.0,0.0,new
4b91f1aa-dcf9-40cc-84d0-1eb1d830cf0b,2023-09-03,45+,F,mobile,beauty,True,True,9.0,0.0,0.0,new
bb9c10b2-e885-4aba-9716-e08e2726c41c,2023-08-05,45+,F,mobile,beauty,True,False,7.0,1.0,398.0,bronze
ab51580e-3c98-4bd1-9986-d461d9a59712,2023-10-24,25-34,F,mobile,electronics,False,False,4.0,0.0,0.0,new
2f8c25fa-f764-45f1-9b4c-b95c47eb6346,2023-10-23,25-34,M,mobile,home_decor,True,False,2.0,0.0,0.0,new
b552a3d8-4f48-42e4-8ab9-4c6a4094324d,2023-11-08,25-34,F,mobile,fashion,False,False,5.0,0.0,0.0,new
eb704c44-0b23-4113-bb34-73d6cc72ea24,2023-07-01,25-34,F,mobile,sports,False,True,0.0,0.0,0.0,new
dd5fcdef-ff47-4ff3-bcf2-be7632028ede,2023-11-05,18-24,M,mobile,sports,True,False,2.0,0.0,0.0,new
65abc322-4a2c-4ee3-9e3c-f7524bddbf07,2023-07-01,35-44,F,mobile,home_decor,False,False,0.0,0.0,0.0,new
446e2633-ad5a-48b9-b955-c58c06168cf4,2023-09-02,18-24,F,mobile,home_decor,True,False,4.0,0.0,0.0,new
ef032acc-e616-4477-88b9-8a972c7131bf,2023-08-01,45+,Other,desktop,beauty,False,False,6.0,1.0,1599.0,bronze
1e4a257a-43fc-407a-bfae-26cb93941b55,2024-05-07,18-24,F,mobile,fashion,True,True,1.0,0.0,0.0,new
e8db0bef-625f-4155-91a6-64e010fbb1da,2023-07-01,35-44,F,mobile,beauty,True,False,0.0,0.0,0.0,new
76815e78-3d65-45c2-bafe-3a8a825fb6c5,2023-11-08,25-34,F,tablet,beauty,True,False,1.0,0.0,0.0,new
5070f868-38e6-4362-b25a-f8efea98b272,2023-10-08,25-34,F,mobile,fashion,True,False,3.0,0.0,0.0,new
d079c437-e02e-43a7-bd1b-4a4e3618a238,2023-10-29,25-34,M,desktop,beauty,True,False,5.0,0.0,0.0,new
bb81dbeb-8637-41b1-8fc3-e96de49a4408,2023-07-01,18-24,F,mobile,electronics,True,False,0.0,0.0,0.0,new
45e7a5df-2347-4a5b-9bf9-737f859bd697,2023-08-09,45+,M,desktop,sports,False,False,9.0,1.0,2999.0,bronze
6d360f9e-2293-4896-a01c-4f4f9091326f,2023-11-30,25-34,M,desktop,home_decor,True,False,2.0,0.0,0.0,new
f7746566-65a1-452b-a286-e7e11c7d4a86,2023-11-18,25-34,M,mobile,electronics,True,True,2.0,0.0,0.0,new
e21f1d33-017a-4d7b-bcdd-d6bc91ee3219,2024-06-08,25-34,F,mobile,beauty,True,False,1.0,0.0,0.0,new
96060d3d-e611-4fb4-a9f7-173c8d17526c,2023-07-23,25-34,M,desktop,fashion,True,True,6.0,1.0,1299.0,bronze
0c08979d-ac87-40d3-b938-be5c25652025,2023-09-26,18-24,M,tablet,electronics,True,False,2.0,0.0,0.0,new
977bc553-693a-4e3e-ba85-a53acfde3ea2,2023-08-31,35-44,F,mobile,home_decor,True,False,1.0,0.0,0.0,new
e2a15b57-6a7f-4e08-838e-18e6145775ee,2023-10-23,45+,M,desktop,home_decor,True,True,3.0,0.0,0.0,new
e25884cd-e6c1-433a-bec8-876b71fc6566,2023-07-16,45+,M,mobile,electronics,True,True,5.0,0.0,0.0,new
f1225773-9d99-4585-9e4f-fe3de0436ae7,2023-08-13,45+,M,mobile,sports,True,True,14.0,1.0,47997.0,bronze
33c0e394-8615-4635-90a4-64b1f109121a,2023-11-22,35-44,F,mobile,beauty,False,False,1.0,0.0,0.0,new
3b6411a6-9847-418b-aeec-ceedea739858,2024-04-01,18-24,F,tablet,electronics,True,True,1.0,0.0,0.0,new
45e083da-5b17-4884-8c19-c48048c6e623,2023-11-25,18-24,M,desktop,fashion,False,True,2.0,0.0,0.0,new
c765f08a-0df1-4bee-a18d-8939403a2342,2023-07-10,18-24,M,desktop,electronics,True,False,15.0,0.0,0.0,new
eb7bcad2-0f33-45c6-ad8b-d3c94e75e7e9,2023-07-18,25-34,M,mobile,electronics,True,True,14.0,1.0,8997.0,bronze
9035ea6f-487a-4a8b-b8e1-13d1ea833304,2023-08-17,25-34,F,desktop,fashion,True,False,7.0,2.0,2496.0,silver
6db459d5-80a8-4d7b-ac45-96d420369c50,2023-07-01,25-34,M,mobile,fashion,False,True,0.0,0.0,0.0,new
46176e16-6c8f-4b56-b5b6-1539710ff584,2023-10-23,18-24,M,desktop,electronics,False,True,1.0,0.0,0.0,new
da86fbde-2fae-48ea-b684-05c85c2308dd,2023-07-01,18-24,M,mobile,sports,True,True,4.0,1.0,19998.0,bronze
0144e425-c880-436d-968a-15efd00d16ef,2023-09-23,18-24,M,mobile,sports,False,True,10.0,0.0,0.0,new
03983221-c204-454e-a409-157b2d52c37a,2023-12-10,18-24,M,mobile,sports,True,False,1.0,0.0,0.0,new
96f6abb5-324e-426c-9745-b83784f22772,2023-07-05,35-44,M,mobile,beauty,True,False,7.0,0.0,0.0,new
8c603252-74e2-48be-aaa5-833a3fd7c4c2,2023-07-23,18-24,M,desktop,beauty,True,True,6.0,0.0,0.0,new
c7f524d4-507c-4d17-8955-2959f996c490,2023-07-09,35-44,F,desktop,electronics,True,True,2.0,0.0,0.0,new
bc968e44-5666-4c13-b478-624b4cbb5cd5,2023-07-01,18-24,F,desktop,electronics,True,True,0.0,0.0,0.0,new
6116a322-7543-4f97-a376-b67ac0210dc4,2023-07-03,25-34,M,mobile,beauty,True,True,6.0,0.0,0.0,new
61bf1e13-7de6-4b5a-8bf2-11da49ebe327,2024-01-15,25-34,M,desktop,home_decor,True,False,1.0,0.0,0.0,new
4ac3ed4c-ce23-44ad-8fd4-2eeb78a231eb,2023-07-01,35-44,M,desktop,home_decor,True,True,0.0,0.0,0.0,new
27d2318a-2aaa-4b9d-bbf3-f7175d269a1a,2023-07-01,18-24,M,mobile,sports,True,False,0.0,0.0,0.0,new
7567da69-e45c-432c-a433-8729f94cc710,2023-08-08,25-34,M,mobile,fashion,False,True,4.0,0.0,0.0,new
d5839745-dc32-4fe5-84d3-8317e74b451e,2023-08-27,25-34,F,desktop,home_decor,True,False,6.0,0.0,0.0,new
8d0bd31c-ad7f-4642-ac8a-de9686808742,2024-02-10,25-34,M,desktop,fashion,True,False,2.0,1.0,29997.0,bronze
