order_id,session_id,user_id,order_date,gmv,discount_applied,coupon_code,discount_amount,payment_method,delivery_pincode,category,is_first_order,device_type
44517633-dd77-4baf-930f-cbe08e3ddeb0,ce618ee3-0bad-47dd-8698-855e9ab9ffc6,78dbfeca-1a93-4355-a31c-b62473638656,2023-07-02 13:26:20,1197,True,SAVE20,119.7,upi,151954,beauty,False,mobile
dfa72ffd-1be1-4806-8357-4d4caeb1dc3a,7dfadc2d-ec94-466f-b0ac-f99445179273,cf6bd697-77f8-488d-b56b-4afe0a253f0e,2023-07-02 22:44:39,11997,True,,1199.7,cod,806704,sports,False,mobile
546988cc-83c4-48e1-93ea-15f3009c599b,a40738a3-5fb2-46fc-a82f-5037628a3964,14d4fe3e-b165-49aa-a852-92cd62b9a0dc,2023-07-02 05:01:09,2999,False,SAVE20,0.0,upi,158991,fashion,False,desktop
e16cb021-1af2-421a-a81e-c43d852f2e18,3c090b3d-d31c-4e60-b5c8-25fb0544d9d0,4d029934-c243-4b3e-b20f-cb96937589f7,2023-07-03 22:33:52,2499,True,,249.9,cod,952650,home_decor,False,tablet
915b8f49-e3d2-4345-bf0f-d72af1ec0f75,5bda45c0-442d-49e8-9374-64674543b767,a5521bdb-b50c-41aa-887a-95e6cd1d8a19,2023-07-03 13:57:28,2998,False,SAVE20,0.0,cod,092170,fashion,False,desktop
f47a6cbf-0e6d-43a9-8014-9658dc56eafb,81ba765f-4a6f-42fa-8315-fb3f478fec24,49a8f6cd-ba96-4a20-b7db-ba5a1aa63042,2023-07-04 11:11:21,3998,True,,399.8,upi,708426,sports,False,desktop
db47b0f2-d8bb-45af-aecd-1c3899667f0d,0259bef6-f39a-492c-b59b-45a2c82cb8a7,14dabbe5-08c2-411f-a52d-c8fee119c29b,2023-07-06 20:59:15,2598,False,SAVE20,0.0,debit_card,904308,fashion,False,tablet
11d80425-dc9e-4109-9151-e2efc1e0420f,79d0b76b-5706-4d43-9ff2-c8acc5d60adb,3a3ef1a8-4a13-4804-b368-c3a23281abc3,2023-07-06 21:04:36,9999,True,SAVE20,999.9000000000001,cod,258691,electronics,False,mobile
f7f334e4-20d1-4bf2-acb5-c9fd142e1ebb,6fdce521-7c2e-42b7-9a39-bbe497b73aed,749d311d-7e67-44ab-a295-9949251c7c66,2023-07-06 09:30:42,1798,False,,0.0,credit_card,227400,home_decor,False,desktop
cba53953-b5e2-4336-99be-2b04560817d0,fd35c13a-4bdb-4993-98e2-5f28a0bf7c1a,599d8779-40ab-4246-acd2-39c2713df225,2023-07-06 14:22:03,1497,False,,0.0,debit_card,148810,fashion,False,mobile
ce20c28e-488a-4ae8-beaa-78421ebeeeba,8c013ab8-a29b-48f1-ab97-0413e2c2bd79,63881326-1ee1-4cc4-883a-1e44a4212096,2023-07-06 00:35:47,2997,True,SAVE20,0.0,cod,112357,fashion,False,desktop
c1e7dc40-1502-4863-8584-866a7694c037,6607b138-cdaf-447e-8b0a-8bc73103a149,4d323907-c0cb-42db-99be-81844d862cd9,2023-07-07 09:22:38,998,False,,0.0,cod,223607,sports,False,tablet
7f3c5635-b3b4-481d-bed1-b5235decc72c,a34a76a2-b9dc-405d-b2b1-d2240fbaa737,49a8f6cd-ba96-4a20-b7db-ba5a1aa63042,2023-07-07 22:01:29,1998,False,,199.8,upi,113621,beauty,False,mobile
dde2a539-df44-48f2-802d-2f66d74d4a54,65d6e7a4-a2af-4325-b357-5dde4a1ab87e,e5ce37a9-3903-4922-996d-67c3364ed7b7,2023-07-07 20:47:27,4797,False,SAVE20,0.0,cod,434043,home_decor,False,desktop
3464406c-9ba8-4f4a-9b61-07aea25e718e,15964213-64c5-4813-8e49-1b244c06d56b,3216d089-02a6-45a6-8056-b602b8e45351,2023-07-08 13:06:14,31998,False,,0.0,cod,898105,electronics,False,mobile
